year,count
2019,31895
2018,30983
2017,29191
2016,27800
2015,24119
2014,23312
2013,20438
2012,19468
2011,17822
2010,17351
2009,17014
2008,17567
2007,12549
2006,10917
2005,12799
2004,3166
2003,3588
2002,1379
2001,1773
2000,1063
1999,1056
